Mountain Name	Area Name	Elevation	Prominence
Benbreen	Twelve Bens	691	186
The Paps West	Paps/Derrynasaggart	690	106
Bencorr North Top	Twelve Bens	690	5
Knocknadobar	Iveragh NW	690	565
Benleagh	"Dublin/Wicklow, Wicklow Mountains"	689	24
Croaghaun	"Achill/Corraun, Achill"	688	688
Ben Creggan South Top	Ben Gorm Mountains	687	72
Corranabinnia SW Top	"North Mayo, Nephin Beg Range"	687	62
War Hill	"Dublin/Wicklow, Wicklow Mountains"	686	71
Hungry Hill	Caha Mountains	685	400
Knockmoyle	Dunkerron Mountains	684	169
Tomaneena	"Dublin/Wicklow, Wicklow Mountains"	682.4	54
Carrigvore	"Dublin/Wicklow, Wicklow Mountains"	682	67
Maumtrasna	Partry/Joyce Country	682	607
Caherbarnagh	Paps/Derrynasaggart	681	361
Slieve Meelmore	Mourne Mountains	680	109
Benbreen Central Top	Twelve Bens	680	25
Slieve Bearnagh North Tor	Mourne Mountains	680	10
Knockaterriff Beg	Galty Mountains	679.3	27
Colly	Glenbeigh Horseshoe	679	144
Slieve Snaght	"Donegal NW, Derryveagh Mountains"	678	403
Sawel	Sperrin Mountains	678	657
Knocksheegowna	Comeragh Mountains	678	53
Slieve Binnian North Top	Mourne Mountains	678	53
Camaderry South East Top	"Dublin/Wicklow, Wicklow Mountains"	677.3	15
Derryclare	Twelve Bens	677	129
Knocknagantee	Dunkerron Mountains	676	101
An Bheann Mhor	Dunkerron Mountains	674.7	289
Benbreen North Top	Twelve Bens	674	16
Croaghgorm	Bluestack Mountains	674	541
Beann na Stiocairi	Dunkerron Mountains	673.1	19
Lavagh More	Bluestack Mountains	671	193
Slievemore	"Achill/Corraun, Achill"	671	582
Slievanea NE Top	Central Dingle	670.7	265
Slieve Muck	Mourne Mountains	670.4	155
Slieve Binnian North Tor	Mourne Mountains	670	15
Caherbarnagh NW Top	Paps/Derrynasaggart	668	23
Tonelagee NE Top	"Dublin/Wicklow, Wicklow Mountains"	668	23
Muckish	"Donegal NW, Derryveagh Mountains"	667.1	523
Finnararagh	Dunkerron Mountains	667	142
Letterbreckaun	Maamturks	667	322
Knocknafallia	Knockmealdown Mountains	666.5	153
Coomura Mountain	Dunkerron Mountains	666	111
Mullaghnarakill	Glenbeigh Horseshoe	665	90
Cuilcagh	"Breifne, Cuilcagh Mountains"	665	570
Croaghaun SW Top	"Achill/Corraun, Achill"	664	39
Bengower	Twelve Bens	664	196
Croaghanmoira	"Dublin/Wicklow, Wicklow Mountains"	664	209
Camenabologue SE Top	"Dublin/Wicklow, Wicklow Mountains"	663	38
Stumpa Duloigh SW Top	Dunkerron Mountains	663	58
Sugarloaf Hill	Knockmealdown Mountains	662.7	117
Binn Mhor	Maamturks	661	406
Mullacor	"Dublin/Wicklow, Wicklow Mountains"	661	102
Beenmore	Glenbeigh Horseshoe	660	125
Binn idir an da Log SE Top	Maamturks	659	31
Knockowen	Caha Mountains	658	373
Beann SW Top	Dunkerron Mountains	657	72
Mount Leinster East Top	Blackstairs Mountains	656.5	32
Chimney Rock Mountain	Mourne Mountains	656	131
Knocknagnauv	Knockmealdown Mountains	655.1	60
Cnoc na dTarbh	MacGillycuddy's Reeks	655	60
Cove Mountain	Mourne Mountains	654.8	99
Muckanaght	Twelve Bens	654	179
Dromderalough NE Top	Mangerton	654	29
Binn an tSaighdiura	Twelve Bens	653	8
Keadeen Mountain	"Dublin/Wicklow, Wicklow Mountains"	653	334
Ballineddan Mountain	"Dublin/Wicklow, Wicklow Mountains"	652	27
Lugduff	"Dublin/Wicklow, Wicklow Mountains"	652	97
Knockshanahullion	Knockmealdown Mountains	652	317
Dooish	"Donegal NW, Derryveagh Mountains"	651.5	376
Been Hill	Glenbeigh Horseshoe	651	46
Hag's Tooth	MacGillycuddy's Reeks	650	15
Crohane	Mangerton	650	385
Lavagh Beg	Bluestack Mountains	650	93
Dromderalough	Mangerton	650	45
Mullaghanish	Paps/Derrynasaggart	649	264
Knockboy North Top	Shehy/Knockboy	649	14
An Cnapan Mor	Central Dingle	649	81
Coomcallee	Dunkerron Mountains	648.9	103
Seahan	"Dublin/Wicklow, Dublin Mountains"	647.3	93
Truskmore	Dartry Mountains	647	560
Devilsmother	Partry/Joyce Country	645	280
Coomnadiha	Caha Mountains	644	209
Musheramore	Boggeragh Mountains	642.7	439
Ardnageer	Bluestack Mountains	642	77
Tonduff	"Dublin/Wicklow, Wicklow Mountains"	642	117
Cnoc na Banoige	Central Dingle	641.6	176
Cush	Galty Mountains	641.2	176
Croaghbane	Bluestack Mountains	641	76
Scarr	"Dublin/Wicklow, Wicklow Mountains"	641	231
Knocklomena	Dunkerron Mountains	641	406
Drung Hill	Glenbeigh Horseshoe	640	35
Binn Mhor NE Top	Maamturks	640	15
Slieve Corragh	Mourne Mountains	640	15
Cnoc na gCapall	Dunkerron Mountains	639	334
Beann South Top	Dunkerron Mountains	639	64
Benfree	Twelve Bens	638	48
Eagle Mountain	Mourne Mountains	638	263
Knocknamanagh	Shehy/Knockboy	637	139
Lugduff SE Top	"Dublin/Wicklow, Wicklow Mountains"	637	22
Beann Far SW Top	Dunkerron Mountains	636.2	24
Coomnacronia	Dunkerron Mountains	636	71
Lobawn	"Dublin/Wicklow, Wicklow Mountains"	636	111
Mullaghclogha	Sperrin Mountains	635	207
Kells Mountain	Iveragh NW	633	138
Binn Chaonaigh	Maamturks	633	108
Bencullagh	Twelve Bens	632	154
Truskmore SE Cairn	Dartry Mountains	631	0
Boughil	Dunkerron Mountains	631	86
White Hill	"Dublin/Wicklow, Wicklow Mountains"	630.9	12
Monabrack	Galty Mountains	630.1	94
Binn Mhor East Top	Maamturks	630	14
Slieve Binnian East Top	Mourne Mountains	630	15
Laghtshanaquilla	Galty Mountains	629.4	36
Knocknalougha	Knockmealdown Mountains	629	84
Slievanea	Central Dingle	628.7	22
Glennamong	"North Mayo, Nephin Beg Range"	628	139
Knockanaffrin South Top	Comeragh Mountains	628	13
Mullaghaneany	Sperrin Mountains	627	302
Nephin Beg	"North Mayo, Nephin Beg Range"	627	365
Ardnageer SW Top	Bluestack Mountains	626	21
Shanlieve	Mourne Mountains	626	31
Dromderalough North-West Top	Mangerton	625	12
Knocknamanagh NE Top	Shehy/Knockboy	625	60
Ballysitteragh	Brandon Group	623	218
Mullach Glas	Maamturks	622	87
Maulin	Caha Mountains	621	226
Seefin	"Dublin/Wicklow, Dublin Mountains"	620.6	22
Meenard Mountain	Sperrin Mountains	620	85
Dart Mountain	Sperrin Mountains	619	89
Leenaun Hill	Maamturks	618	363
Corrig Mountain	"Dublin/Wicklow, Dublin Mountains"	617.1	28
Glennagleragh Mtn	Partry/Joyce Country	617	12
Slieve Loughshannagh	Mourne Mountains	617	104
Coumaraglin Mountain	"Comeragh Mountains, Monavullagh Mountains"	617	102
Slieve Snaght	Inishowen	615	600
Binn Mhairg	Maamturks	612	15
Kells Mountain East Top	Iveragh NW	612	27
Tievebaun	Dartry Mountains	611	106
Coombane	Central Dingle	610	42
Knockbrack	Mangerton	610	45
