Mountain,Area,Elevation,Prominence
Cock Mountain,Mourne Mountains,504,130
Nareera North Top,Caha Mountains,503,15
Knockahunna,"South Midlands, Slievenamon",502.8,43
Raghtin More,Inishowen,502,407
Benbrack,"Breifne, Iron Mountains",502,147
Caunoge,Glenbeigh Horseshoe,502,127
Crockfadda North-East Top,"Donegal NW, Derryveagh Mountains",502,37
Claggan Mountain NE Top,"North Mayo, Nephin Beg Range",501,146
Common Mountain,Donegal SW,501,316
Great Sugar Loaf,"Dublin/Wicklow, Wicklow Mountains",501,216
Knockreagh,Caha Mountains,500,65
Crott Mountain,Croagh Patrick,500,74
Butter Mountain,Mourne Mountains,500,95
Cahernageeha Mountain,Dunkerron Mountains,499,121
Croaghbarnes,Bluestack Mountains,499,54
Musherabeg,Boggeragh Mountains,498.8,122
Brown's Hill,Bluestack Mountains,498,33
Barnastooska,Shehy/Knockboy,497,92
Crocknapeast,Donegal SW,497,113
Foilclogh,Iveragh NW,497,352
Slieve Gallion NE Top,Sperrin Mountains,496,46
Benbrack NE Top,"Breifne, Iron Mountains",496,51
Mweelrea SE Spur,Mweelrea Mountains,495,70
Carrigroe,Blackstairs Mountains,495,30
Crocknasharragh,"Donegal NW, Derryveagh Mountains",495,80
Beenreagh,Glenbeigh Horseshoe,495,100
Buckaun East,Partry/Joyce Country,495,20
Mullaghmesha,Shehy/Knockboy,494.3,209
Bulbin,Inishowen,494,299
Lugnabrick SW Top,Partry/Joyce Country,494,12
Lugnabrick NE Top,Partry/Joyce Country,494,99
Crownarad,Donegal SW,493,208
Seefin,Glenbeigh Horseshoe,493,168
Derrygarriff,Mangerton,492,128
Learmount Mtn S Top,Sperrin Mountains,492,23
Seefin,Boggeragh Mountains,491,61
Seefin E Top,Boggeragh Mountains,491,61
Knockoura,Slieve Miskish,490,395
Crossderry,Dunkerron Mountains,489,54
Silvermine Mountains W Top,"Shannon, Silvermine Mountains",489,214
Baurearagh Mountain,Caha Mountains,489,34
Learmount Mountain,Sperrin Mountains,489,34
Crockglass,"Donegal NW, Derryveagh Mountains",489,44
Maumturkmore,Maamturks,488,133
Teevenacroaghy,Croagh Patrick,487,43
Mweelin,Shehy/Knockboy,487,90
Wolftrap Mountain,Slieve Bloom,487,42
Knocknanask,Knockmealdown Mountains,486,131
Staghall Mountain,"Donegal NW, Derryveagh Mountains",486,71
Glanbeg,Dunkerron Mountains,485.8,26
Slievenagower,Central Dingle,485.8,120
Crockfadda,"Donegal NW, Derryveagh Mountains",485,110
Slievemartin,Mourne Mountains,485,180
Mullaghsallagh,Sperrin Mountains,485,40
Barcam,Slieve Bloom,484,49
Crohaun,"Comeragh Mountains, Monavullagh Mountains",484,149
Scalp Mountain,Inishowen,484,289
Ridge of Capard,Slieve Bloom,483,48
Cnoc na Stuaice,Slieve Mish,483,28
Aganny Top,Dartry Mountains,482,37
Carroll's Hill,Slieve Bloom,482,37
Meenard Mtn W Top,Sperrin Mountains,480,45
Maumlack,"Donegal NW, Derryveagh Mountains",480,29
Mullaghash,Sperrin Mountains,480,185
Ballinafunshoge,"Dublin/Wicklow, Wicklow Mountains",480,92
Crockballaghgeeha,"Donegal NW, Derryveagh Mountains",480,65
Devilsbit Mountain,"Shannon, Devilsbit",480,344
Croaghnasaggart,"Donegal NW, Derryveagh Mountains",480,25
Benard,Galty Mountains,479.5,84
An Bhinn Dubh,Brandon Group,479.2,50
Bunnacunneen SE Top,Partry/Joyce Country,479,34
Silvermine Mountains E Top,"Shannon, Silvermine Mountains",479,55
Beenduff,Iveragh NW,479,32
Saggartnadooish E Top,"Donegal NW, Derryveagh Mountains",478.9,33
Curracahill,Paps/Derrynasaggart,478,32
Divis,Belfast Hills,478,380
Bohilbreaga,Sperrin Mountains,478,43
Cummeen,Central Dingle,477,162
Crohane SW Top,Mangerton,477,32
Benbaun,Twelve Bens,477,42
Maumthomas SW Top,"North Mayo, Nephin Beg Range",477,40
Beenbo,Central Dingle,476.7,48
Douce Mountain,Shehy/Knockboy,476,211
Cullaghacro,Bluestack Mountains,476,31
Croveenananta,Bluestack Mountains,476,221
Carnavaddy,"Cooley/Gullion, Cooley Mountains",475,80
Mulnanaff,Donegal SW,475,57
Feorus East,Caha Mountains,474,99
Agnew's Hill,Antrim Hills,474,289
Kirikee Mountain,"Dublin/Wicklow, Wicklow Mountains",474,99
Derrybawn Mountain,"Dublin/Wicklow, Wicklow Mountains",474,34
Tievedockaragh,Mourne Mountains,473,48
Ardloughnabrackbaddy,"Donegal NW, Derryveagh Mountains",472.5,28
Slievemeen,Mourne Mountains,472,37
Coomhola Mountain,Shehy/Knockboy,472,37
Lackabaun,Shehy/Knockboy,472,36
Slievetooey W Top,Donegal SW,472,117
Balbane Hill,Donegal SW,472,27
Cró na Roda SW Top,Donegal SW,471,26
Doughill Mountain,Shehy/Knockboy,471,209
Crocknalaragagh,"Donegal NW, Derryveagh Mountains",470.6,186
Torc Mountain W Top,Mangerton,470,32
Maughanaclea Hills E Top,Shehy/Knockboy,470,136
Brockagh Mountain SE Top,"Dublin/Wicklow, Wicklow Mountains",470,25
Crocknafarragh SE Top,"Donegal NW, Derryveagh Mountains",470,15
Loughsalt Mountain,Donegal NW,469,364
Derroograne,Shehy/Knockboy,468,93
Farraniaragh Mountain,Dunkerron Mountains,468,64
Bengorm NW Top,"North Mayo, Nephin Beg Range",468,43
Knockaunanattin W Top,Dunkerron Mountains,467,32
Cooneen Hill,Shannon,467,182
Mullaghbane,Sperrin Mountains,467,32
Tibradden Mountain,"Dublin/Wicklow, Dublin Mountains",467,30
Minaun,"Achill/Corraun, Achill",466,411
Knocknagapple,Glenbeigh Horseshoe,466,51
Lack Mountain,Slieve Mish,465,40
Benbradagh,Sperrin Mountains,465,171
Slievereagh,Ballyhoura Mountains,464.5,309
Knocknagorraveela NE Top,Caha Mountains,464,29
Carntogher,Sperrin Mountains,464,138
Carrigalachan,Blackstairs Mountains,463,58
Benbrack W Top,"Breifne, Iron Mountains",463,58
Crockauns,"Dartry Mountains, Castlegal Hills",463,388
Knockmore,Achill/Corraun,462,462
Dough Mountain,Dartry Mountains,462,267
Kings Mountain,Dartry Mountains,462,27
Coomagearlahy W Top,Paps/Derrynasaggart,462,29
Knockullane,Paps/Derrynasaggart,462,56
Knockbwee,Paps/Derrynasaggart,461,106
Knocknagree E Top,Caha Mountains,461,36
Cullaun,"Shannon, Slieve Felim",460,255
Slievetooey Far W Top,Donegal SW,460,55
Craigagh Hill,Sperrin Mountains,460,35
Crockmain,Inishowen,460,45
Crenville,Mourne Mountains,460,45
Barraboy Mountain,Shehy/Knockboy,460,95
Millstone Mountain,Mourne Mountains,460,25
Wee Binnian,Mourne Mountains,460,45
Beann Bhán,MacGillycuddy's Reeks,459.5,96
Skerry Hill,Antrim Hills,459,74
Staigue Top,Dunkerron Mountains,459,74
Knockbrack,Slieve Mish,459,36
Slievenalecka,Central Dingle,458.4,71
Knockbrack S Top,Shehy/Knockboy,458,73
Carrane Hill,Arigna Mountains,458,408
Gortagarry,"Shannon, Devilsbit",458,213
Knocknagapple N W Top,Glenbeigh Horseshoe,458,42
Tooreen,Shannon,457,212
Tountinna,"Shannon, Arra Mountains",457,402
The Ravens Rock,"Cooley/Gullion, Cooley Mountains",457,62
Grogan More,"Donegal NW, Derryveagh Mountains",457,62
Barraboy Mtn Far E Top,Shehy/Knockboy,456,61
Knocknagussy,Partry/Joyce Country,456,101
Barnes Top,Sperrin Mountains,456,78
Croaghaun,Blackstairs Mountains,455.5,120
Benduff,"Shannon, Devilsbit",455,60
Carriglineen Mountain,"Dublin/Wicklow, Wicklow Mountains",455,85
Maumonght SW Top,Twelve Bens,454,29
Crockfadda E Top,"Donegal NW, Derryveagh Mountains",454,29
Annagh Hill,"Dublin/Wicklow, Wicklow Mountains",454,231
Boviel Top,Sperrin Mountains,454,49
Bennaunmore,Mangerton,454,149
Binbane,Bluestack Mountains,453,138
Beann Dubh,MacGillycuddy's Reeks,452,27
Knockfune,"Shannon, Keeper Hill",452,68
Claragh Mountain,Paps/Derrynasaggart,452,128
Maughanaclea Hills W Top,Shehy/Knockboy,452,37
Knockletragh,"Achill/Corraun, Corraun",452,309
Keeloges,Dartry Mountains,452,87
Copes Mountain,"Dartry Mountains, Castlegal Hills",452,67
Milk Hill,"Comeragh Mountains, Monavullagh Mountains",451,36
Baraveha,"W Limerick/N Kerry, Mullaghareirk Mountains",451,299
Croaghonagh,S Donegal/W Tyrone,451,266
Knockantooreen,Shehy/Knockboy,450,25
Beendarrig,MacGillycuddy's Reeks,449.7,76
Coomclogherane Top,Shehy/Knockboy,449,44
Lackagh Mountain,Dartry Mountains,449,344
Slieveanard NE Top,Galty Mountains,448.5,64
Carn Hill,Sperrin Mountains,448,63
Clermont Carn NE Top,"Cooley/Gullion, Cooley Mountains",448,23
Banoge North Top,Central Dingle,447.6,51
Ballyteige,"Dublin/Wicklow, Wicklow Mountains",447,84
Carron Mountain,Ballyhoura Mountains,446.7,75
Seefin,Galty Mountains,446.6,41
Lugnagun,"Dublin/Wicklow, Wicklow Mountains",446.2,43
Glennagalliagh Mountain,"Shannon, Slieve Bernagh",446,40
Shehy More SW Top,Shehy/Knockboy,446,27
Slievenisky,"Mourne Mountains, Slieve Croob",446,41
Kilduff Mountain,"Shannon, Devilsbit",445,30
Gortnagarn,Dartry Mountains,445,20
Slievenaglogh,Mourne Mountains,445,160
Seefin N Top,Galty Mountains,444.1,39
Clermont,"Cooley/Gullion, Cooley Mountains",444,29
Slievebaun,Blackstairs Mountains,444,29
Slievenamiskan,Mourne Mountains,444,39
Cronamuck,Bluestack Mountains,444,89
Knockastanna,Shannon,444,190
Cummeenboy,Paps/Derrynasaggart,442,67
Knocknagree SE Top,Caha Mountains,442,27
Mullaghbolig,Sperrin Mountains,442,127
Thur Mountain,Dartry Mountains,442,227
Knockbrack,Twelve Bens,442,55
Leahanmore,"Donegal NW, Glendowan Mountains",442,257
Diamond Hill,Twelve Bens,442,277
Naweeloge Top,Dartry Mountains,441,106
Knockanbane Mountain,Sperrin Mountains,441,26
Little Carron,Ballyhoura Mountains,440.2,34
Foildarg,Shannon,440,205
Cloonacool,Ox Mountains,440,35
Croaghagranagh,Bluestack Mountains,440,25
Knockbrack,Shehy/Knockboy,440,25
Maumthomas NE Top,"North Mayo, Nephin Beg Range",440,56
Mid Hill,Antrim Hills,440,164
Strickeen,MacGillycuddy's Reeks,440,45
Boolatin Top,"Shannon, Keeper Hill",440,35
Binn Bhán NE Top,Bluestack Mountains,439,38
Croaghnameal,S Donegal/W Tyrone,438,143
Keelogyboy Mountain,"Dartry Mountains, Castlegal Hills",438,143
Slemish,Antrim Hills,437.9,152
Slieveanard,Galty Mountains,437.8,33
Coolfree Mountain,Ballyhoura Mountains,436.8,121
Carncormick,Antrim Hills,436,91
Tawnyard,Sheeffry Hills,436,51
Crockrawer,Donegal SW,435.2,28
Meenanea,Bluestack Mountains,435,30
Staigue N E Top,Dunkerron Mountains,435,37
Coomnalack Top,Caha Mountains,435,30
Cúlóg,Maamturks,435,77
Keelogyboy Mtn NE Top,"Dartry Mountains, Castlegal Hills",435,40
Knockcraugh,Boggeragh Mountains,434,29
Knockanora,"Shannon, Devilsbit",433,248
Knockbane,Shannon,433,158
Knocksculloge,Knockmealdown Mountains,432.6,54
Mullach Glas NE Top,Maamturks,432,17
Aghalateeve,Dartry Mountains,432,27
Mount Eagle,"W Limerick/N Kerry, Mullaghareirk Mountains",431,83
Ballycumber Hill,"Dublin/Wicklow, Wicklow Mountains",431,236
Faill an tSáis,Brandon Group,430.6,106
Broemountain,Knockmealdown Mountains,430.4,125
Knocknasheega,Knockmealdown Mountains,430.4,53
Farbreague,Slieve Bloom,430,45
Corick Mountain,Sperrin Mountains,430,35
Croaghmoyle,North Mayo,430,372
Sleamaine,"Dublin/Wicklow, Wicklow Mountains",430,42
Crockmulroney,"Donegal NW, Derryveagh Mountains",430,45
Trooperstown Hill,"Dublin/Wicklow, Wicklow Mountains",430,251
Collin Top,Antrim Hills,429,34
Tievealehid,"Donegal NW, Gweedore",429,304
Boultypatrick,Bluestack Mountains,429,171
Cloghmeen Hill,Bluestack Mountains,429,71
Cratlieve,"Mourne Mountains, Slieve Croob",429,84
Wee Slievemoughan,Mourne Mountains,428,33
Seltannasaggart,Arigna Mountains,428,137
Anglesey Mountain,"Cooley/Gullion, Cooley Mountains",428,33
Slieve Felim,"Shannon, Slieve Felim",427,86
Knockalough,Shannon,427,205
Leahan,Donegal SW,427,202
Moneyteige North,"Dublin/Wicklow, Wicklow Mountains",427,47
Mount Eagle,"North Mayo, Nephin Beg Range",427,52
Knocknaskagh,Nagles Mountains,426.5,293
Scraigs,Bluestack Mountains,426,231
Ring Hill,Shannon,426,101
Knockeirka,Caha Mountains,426,181
Fananierin,"Dublin/Wicklow, Wicklow Mountains",426,42
Knockacommeen,Paps/Derrynasaggart,426,44
Rinavore,Partry/Joyce Country,426,242
Laghtnafrankee SW Top,Comeragh Mountains,425,30
Coolcurtoga,Paps/Derrynasaggart,425,90
Carntreena,"Donegal NW, Gweedore",425,70
Knockbrack,MacGillycuddy's Reeks,425,70
Greenoge,Blackstairs Mountains,425,80
Carrigawaddra,Mangerton,425,50
Bohaun,Partry/Joyce Country,424,158
Seefin,Nagles Mountains,424,40
Mullaleam,"Breifne, Cuilcagh Mountains",424,99
Agow Top,Dartry Mountains,423,38
Mamore Hill,Inishowen,423,118
Carrigalougha,Shehy/Knockboy,423,77
Slieve Felim E Top,"Shannon, Slieve Felim",423,69
Coolnasillagh Mountain,Sperrin Mountains,423,48
Camlough Mountain,"Cooley/Gullion, Slieve Gullion",423,288
Knocknakilton,Central Dingle,423,79
Taobh Dubh,Maamturks,422,34
Conwal North,Dartry Mountains,421,136
Farscallop,"Donegal NW, Glendowan Mountains",420.6,175
Spaltindoagh,Sperrin Mountains,420,55
Esknaloughoge N Top,Dunkerron Mountains,420,55
Bessy Bell,Sperrin Mountains,420,355
Slievemeel,Mourne Mountains,420,65
Slieveboy,North Wexford,420,304
Turners Rock,Shehy/Knockboy,420,95
Glenaneagh,Shannon,420,55
Stookeen,"Dublin/Wicklow, Wicklow Mountains",420,269
Damph,Inishowen,420,65
Gortnageragh,Shannon,418,143
Slievenahanaghan,Antrim Hills,418,73
Slievecorragh,"Dublin/Wicklow, Wicklow Mountains",418,151
Eskaheen Mountain,Inishowen,418,144
Crockstoller,"Donegal NW, Glendowan Mountains",418,83
Keelogyboy Mtn Far E Top,"Dartry Mountains, Castlegal Hills",418,93
Beenrour,Dunkerron Mountains,418,40
Leean Mountain,"Dartry Mountains, Castlegal Hills",417,132
Knocknasliggaun,Ox Mountains,417,242
Keelogyboy Mtn SW Top,"Dartry Mountains, Castlegal Hills",417,52
Croaghan,Antrim Hills,417,112
Urris Hills,Inishowen,417,167
Glenkeel Top,Caha Mountains,417,85
Addernymore,"Donegal NW, Derryveagh Mountains",416,51
Curraghchosaly Mountain,Sperrin Mountains,416,161
Mount Gable,Partry/Joyce Country,416,352
Croaghubbrid,Bluestack Mountains,416,101
Bweengduff,Boggeragh Mountains,416,90
Esknaloughoge,Dunkerron Mountains,416,48
Mullaghturk,Sperrin Mountains,416,81
Benbo,Dartry Mountains,415,214
Glennamong E Top,"North Mayo, Nephin Beg Range",415,40
Mullaghareirk,"W Limerick/N Kerry, Mullaghareirk Mountains",414,90
Knockagarrane,Caha Mountains,414,59
Moneyoran Hill,Sperrin Mountains,414,29
Bweeng Little,Boggeragh Mountains,414,29
Slievefoore,"Dublin/Wicklow, Wicklow Mountains",414,29
Coolroe,Glenbeigh Horseshoe,414,80
Ballaghnabehy Top,Dartry Mountains,413,28
Knocknagullion,Dunkerron Mountains,413,245
Largan Hill,Ox Mountains,413,228
Lackenacreena,Shannon,413,28
Knockpasheemore,Twelve Bens,412,17
Bird Hill,Shehy/Knockboy,412,67
Stookeennalackareha,Caha Mountains,412,27
Ballykildea Mountain,"Shannon, Slieve Bernagh",412,67
Seltannasaggart SE Slope,Arigna Mountains,412,0
Knockane,"Shannon, Keeper Hill",411,56
Bartonny Top,"Breifne, Iron Mountains",411,36
Knockmaroe,Shannon,411,106
Derrysallagh,Caha Mountains,410,35
Silvermine Mountains Far E Top,"Shannon, Silvermine Mountains",410,25
Croaghugagh,Bluestack Mountains,410,75
Bolus,Iveragh NW,410,385
Ballinard,"W Limerick/N Kerry, Mullaghareirk Mountains",410,45
Nephin Beg S Top,"North Mayo, Nephin Beg Range",410,65
Foardal,Mangerton,409.8,36
Barraboy Mountain SE Top,Shehy/Knockboy,409,24
Spinans Hill,"Dublin/Wicklow, Wicklow Mountains",409,184
Tooreenbaha,Caha Mountains,408.7,33
Knockacummer,"W Limerick/N Kerry, Mullaghareirk Mountains",408,103
Knockullane E Top,Paps/Derrynasaggart,408,42
Clogherny Top,Sperrin Mountains,408,33
Carrigleitrim,"Dublin/Wicklow, Wicklow Mountains",408,53
Corran,Nagles Mountains,407.5,92
Castleconor,Slieve Bloom,407,32
Mount Gabriel,Mizen/Sheeps Head,407,312
Slieve Felim S Top,"Shannon, Slieve Felim",407,32
Crockalougha,Sperrin Mountains,407,73
Knocknaskagh N Top,Nagles Mountains,406.3,42
Garraunbaun,Slieve Bloom,406,31
Esknabrock,Mangerton,406,251
Nowen Hill Far W Top,Shehy/Knockboy,405.2,59
Taur,"W Limerick/N Kerry, Mullaghareirk Mountains",405,70
Croaghacullin,Donegal SW,405,70
Taurbeg,"W Limerick/N Kerry, Mullaghareirk Mountains",405,14
Cummer,Shannon,405,80
Slieve Rushen,Breifne,404,342
Long Hill,Comeragh Mountains,404,37
The Foxes Rock,"Cooley/Gullion, Cooley Mountains",404,47
Rocky Mountain,Mourne Mountains,404,80
Ballincurra Hill,Shannon,403,188
Crockaneel,Antrim Hills,403,88
Commaun Beg,Shannon,403,88
Lacroagh,Bluestack Mountains,403,48
Soarns Hill,Antrim Hills,403,38
Balix Hill,Sperrin Mountains,403,188
Croaghmarhin,Dingle West,403,218
Crockalough,Antrim Hills,402,77
Knockadigeen Hill,Shannon,402,137
Douglas Top,Antrim Hills,402,87
Bleantasour Mountain,"Comeragh Mountains, Monavullagh Mountains",402,37
Shaking Rock,Mangerton,402,27
Tievebulliagh,Antrim Hills,402,57
Cloghervaddy,Bluestack Mountains,402,27
Tirkslieve,"North Mayo, Nephin Beg Range",401,132
Croaghbrack,Bluestack Mountains,401,46
Croaghmeen,S Donegal/W Tyrone,401,106
Lissoughter,Maamturks,401,336
Ballyvouskill,Paps/Derrynasaggart,401,35
Carrigeenamronety,Ballyhoura Mountains,400.9,225
Knockannavea,Dublin/Wicklow,400.8,98
Owenreagh Hill,Sperrin Mountains,400,185
Crockuna,Donegal SW,400,115
Sruffaungarve Top,Ox Mountains,400,25
Killaha Mountain,Caha Mountains,400,95
Cushbawn,"Dublin/Wicklow, Wicklow Mountains",400,160
Barraduff Mountain,Caha Mountains,400,95
Spinans Hill SE Top,"Dublin/Wicklow, Wicklow Mountains",400,40
Hangmans Hill,"Dartry Mountains, Castlegal Hills",400,65
Maghera,"Shannon, Slieve Aughty",400,345
Foilduff,"Shannon, Mauherslieve",400,35
Croaghcarragh,Inishowen,400,45
Donald's Hill,Keenaght,399,176
Belmore Mountain,Fermanagh/S Tyrone,398,323
Knockastumpa,Caha Mountains,398,102
Muskeagh Hill,"Dublin/Wicklow, Wicklow Mountains",397,242
Crockglass,Inishowen,397,95
Saggart Hill,"Dublin/Wicklow, Dublin Mountains",396.9,160
Lackavrea,Maamturks,396,301
Burren,North Mayo,396,102
Loughermore,Keenaght,396,270
Farbreiga,North Mayo,395,240
Knocknaskereighta,Iveragh NW,395,280
Bohaun,Partry/Joyce Country,393,118
Leamacrossan Hill,Inishowen,392,97
Banagher Hill,Bluestack Mountains,392,106
Slievecallan,West Clare,391,365
Slievegarran,Mourne Mountains,391,133
Croughaun Hill,Comeragh Mountains,391,225
Mount Hillary,Boggeragh Mountains,391,176
Glengesh Hill,Donegal SW,390,126
Knockakishaun,Croagh Patrick,390,205
Preban Hill,"Dublin/Wicklow, Wicklow Mountains",389,183
Slievekeeragh Hill,Inishowen,389,95
Falleennafinoga,Shannon,388,110
Bullaunmore,"North Mayo, Nephin Beg Range",388,173
Laghta Eighter Hill,Sheeffry Hills,388,144
Tullybrack,Fermanagh/S Tyrone,386,200
Miskish Mountain,Slieve Miskish,386,181
Knockanouganish,Caha Mountains,386,191
Binevenagh,Keenaght,385,170
Craignamaddy,Sperrin Mountains,385,160
Cloghnagaune,Dublin/Wicklow,385,117
Croaghleheen,Bluestack Mountains,385,230
Kinnaveagh,"Donegal NW, Glendowan Mountains",384,106
Mountpelier Hill,"Dublin/Wicklow, Dublin Mountains",383,68
Doire Gharb,Dunkerron Mountains,382,115
Baltinglass Hill,"Dublin/Wicklow, Wicklow Mountains",382,227
Oughtmore,Sperrin Mountains,382,157
Gruggandoo,Mourne Mountains,382,177
Black Hill,Antrim Hills,381,102
Carrick Mountain,"Dublin/Wicklow, Wicklow Mountains",381,174
Burren,Boggeragh Mountains,380,155
Slieve Beagh,Fermanagh/S Tyrone,380,285
Maumakeogh,North Mayo,379,294
Carnanmore,Antrim Hills,379,122
Teevnabinnia,Mweelrea Mountains,379,214
Cupidstown Hill,Dublin/Wicklow,378.6,54
Cappaghabaun Mountain East,"Shannon, Slieve Aughty",378,332
Beentee,Iveragh NW,376,270
Knocknagallaun,Slieve Miskish,376,150
Derrynafulla SW,Caha Mountains,375,150
Brickany,Central Dingle,374,219
Croaghacullion,Donegal SW,374,239
Slieve Beagh South East Top,Fermanagh/S Tyrone,373,5
Glenbeg East,Partry/Joyce Country,372,267
Crocknagapple,Dartry Mountains,372,116
Croaghavehy,Donegal SW,372,99
Grinlieve,Inishowen,371,223
Slievekirk,Sperrin Mountains,370,275
Knocklettercuss,"North Mayo, Nephin Beg Range",370,212
Benaughlin,"Breifne, Cuilcagh Mtns",370,124
Culliagh SE Top,Donegal NW,369,194
Slievenamuck,Galty Mountains,369,234
Fear Breagach,Ballyhoura Mountains,369,112
Cave Hill,Belfast Hills,368,94
Bleanbeg,"Shannon, Keeper Hill",368,111
Mount Kennedy,Dublin/Wicklow,365.9,138
Croghan,South Midlands,365,124
Carrigatuke,"Cooley/Gullion, Slieve Gullion",365,210
Coppanagh,"South Midlands, Brandon Hill",365,210
Altnapaste,Bluestack Mountains,364,164
Cark Mountain,Donegal NW,364,102
Knockaviltoge,Shannon,364,96
Knockalla,Donegal NW,363,328
Fir Mountain,Sperrin Mountains,362,98
Letter South,Dunkerron Mountains,362,140
Gowlbeg Mountain,Caha Mountains,362,135
Keale Mountain,Ballyhoura Mountains,361.8,114
Castlequin,Iveragh NW,361,336
Crockkinnagoe,S Donegal/W Tyrone,361,221
Keshcorran,Bricklieve/Curlew,359,294
Shannavara,South Connemara,358,301
Cashlaundrumlahan,"Shannon, Slieve Aughty",358,223
Craigcannon,Donegal NW,357,172
Lakeen,"Dublin/Wicklow, Wicklow Mountains",357,202
Gartan Mountain,"Donegal NW, Glendowan Mountains",357,212
Tully Mountain,Twelve Bens,356,331
Knockanaskill,Dunkerron Mountains,356,151
Crusline,Stacks Mountains,355,133
Mount Foley,Glenbeigh Horseshoe,355,148
Milane Hill,Shehy/Knockboy,354.4,159
Cnoc Mordáin,South Connemara,354,329
Hen Mountain,Mourne Mountains,354,83
Ballyarthur Hill,Ballyhoura Mountains,353.3,208
Big Collin,Antrim Hills,353,148
Knocknabrone Hill,MacGillycuddy's Reeks,353,188
Knockadullaun,Knockmealdown Mountains,352.2,126
Mulmosog Mountain,Donegal SW,351,216
Barnavave,"Cooley/Gullion, Cooley Mountains",350,45
Crockmore,Donegal NW,349,173
Clomantagh Hill,"South Midlands, Slieveardagh",349,217
Cloonagh,Ox Mountains,349,102
Crotlieve Mountain,Mourne Mountains,347,111
Knocknasilloge,South Connemara,346,306
Bolaght Mountain,S Donegal/W Tyrone,345,170
Seefin,Mizen/Sheeps Head,345,260
Slieve Elva,West Clare,344,339
Seskin,"Dublin/Wicklow, Wicklow Mountains",344,149
Knockanimpaha,"W Limerick/N Kerry, Mullaghareirk Mountains",344,159
Legg,Fermanagh/S Tyrone,343,138
Carrigarierk,Shehy/Knockboy,343,95
Knockree,Dublin/Wicklow,342,95
Dunranhill,Dublin/Wicklow,342,105
Little Sugar Loaf,"Dublin/Wicklow, Wicklow Mountains",342,247
Dooish,S Donegal/W Tyrone,340,165
Tawnaghmore,North Mayo,340,275
Knocknamuck,"South Midlands, Slieveardagh",340,268
Cornasaus,North Midlands,339,224
Corbally Hill,"Shannon, Arra Mountains",339,103
Caher Mountain,Mizen/Sheeps Head,338,143
Keady Mountain,Keenaght,337,112
Binswilly,"Donegal NW, Glendowan Mountains",337,130
Knockmore,"Achill/Corraun, Achill",337,259
Knocknaman,Slieve Bloom,337,131
Clogrennan Hill,"South Midlands, Slievemargy",336,271
Ballinacorbeg,Dublin/Wicklow,336,102
Gregory Hill,Donegal NW,336,241
Slieve Fyagh,North Mayo,335,190
Crocknamoghil,Sperrin Mountains,335,170
Eagles Nest,Purple Mountain,334,105
Oughty Hill,Croagh Patrick,333,146
Letterettrin,Twelve Bens,333,268
Derkbeg Hill,Bluestack Mountains,332,178
Corrin,Slieve Mish,332,97
Benmore,Achill/Corraun,332,138
Fossy Mountain,South Midlands,332,123
Slieveroe,Dublin/Wicklow,332,100
Killurly,Iveragh NW,331,215
Meenamaddo,Ox Mountains,330,135
Knockatagglemore,W Limerick/N Kerry,330,104
Knockatee,Caha Mountains,330,175
Slieve Alp,"North Mayo, Nephin Beg Range",329,194
Crocknasmug,Inishowen,327.5,213
Knocknarea,Ox Mountains,327,312
Slievecarran,West Clare,326,211
Maum,Donegal SW,325,141
Slievenaboley,Mourne Mountains,324,95
Tooreen,Boggeragh Mountains,322,106
Crockavishane,Inishowen,322,116
Tristia,North Mayo,322,207
Crockdooish,Sperrin Mountains,321,166
Bricklieve Mountains,Bricklieve/Curlew,321,173
Coumsallahaun,Shannon,320,109
Slieve Glah,North Midlands,320,205
Pookeen North Top,Shehy/Knockboy,319,104
Carnearny,Antrim Hills,319,150
Lateeve,Dingle West,318,263
Cullenagh Mountain,"South Midlands, Slievemargy",317,152
Brougher Mountain,Fermanagh/S Tyrone,317,215
Mullyash Mountain,North Midlands,317,100
Gleninagh Mountain,West Clare,316.1,133
Cumber Hill,Slieve Bloom,316,118
Knockmannon Hill,South Midlands,315,151
Crovehy,"Donegal NW, Derryveagh Mountains",315,180
Gibbet Hill,North Wexford,315,212
Slievemore,Fermanagh/S Tyrone,314,150
Carricktriss Gorse,"South Midlands, Walsh Mountains",314,169
Ballynalacken Hill,South Midlands,314,96
Bloody Foreland,"Donegal NW, Gweedore",314,219
Knocknafreaghane,Dunkerron Mountains,313,108
Knocknamaddree,Mizen/Sheeps Head,313,288
Slievetrue,Belfast Hills,312,189
Mouldy Hill,Inishowen,312,167
Tawnydoogan,Mweelrea Mountains,312,96
Tinoran Hill,"Dublin/Wicklow, Wicklow Mountains",312,245
Stranisk,Fermanagh/S Tyrone,312,126
Carrigfadda,Shehy/Knockboy,311.7,206
Cashel Hill,South Connemara,311,285
Knocknagur,Maamturks,310,127
Croaghloughdivna,Donegal SW,310,142
Woodcock Hill,Shannon,310,265
Inchanadreen,Shehy/Knockboy,310,124
Slievenaglogh,Cooley/Gullion,310,153
Knockanuarha,Shannon,309,170
Croslieve,"Cooley/Gullion, Slieve Gullion",308,173
An Bheann Mhór,Dunkerron Mountains,308,183
Knockchree,Mourne Mountains,306,181
Keeraunnageeragh,South Connemara,305,277
Larkfield,Dartry Mountains,305,100
Glinsk,North Mayo,304,179
Aillwee,West Clare,304,145
Beenarourke,Dunkerron Mountains,304,100
